name,gridid,sector,product_type,deployment_type,product_ids,url,admin_url,has_main_product,logo_url
Gauntlet,1382,Infrastructure,Risk Assessment,Supported,22,https://explorer.thegrid.id/profiles/Gauntlet,https://data.thegrid.id/app/dashboard#profile=1382,Yes,https://img.thegrid.id/upload/5d29c779614893eaa3f8c09176f608b992b97bcf95d8ffbf8c8dc7d3e10da0f3.svg
Fordefi,1383,Asset Management,Custody Technology Provider,Supported,22,https://explorer.thegrid.id/profiles/Fordefi,https://data.thegrid.id/app/dashboard#profile=1383,Yes,https://img.thegrid.id/upload/485ab7aaf309b2d01c9c4ecfb471a610ed14344f5f948e5317d676a95ab736e7.svg
Moonboi Universe,1385,Gaming,Game,Deployed,22,https://explorer.thegrid.id/profiles/Moonboi_Universe,https://data.thegrid.id/app/dashboard#profile=1385,Yes,https://img.thegrid.id/upload/4d645fc6578ab217664ab1ae3d674cc004a61113197d38ccec61e896ce0eac0a.png
Photo Finish,1386,Gaming,Gambling/Casino,Deployed,22,https://explorer.thegrid.id/profiles/Photo_Finish,https://data.thegrid.id/app/dashboard#profile=1386,Yes,https://img.thegrid.id/upload/e9e078a4695b30abc6902fcbfec5dd597555c4c6007646a3a6fb50c72c75f99b.svg
Earth From Another Sun,1387,Gaming,Game,Deployed,22,https://explorer.thegrid.id/profiles/Earth_From_Another_Sun,https://data.thegrid.id/app/dashboard#profile=1387,Yes,https://img.thegrid.id/upload/f4d670f5da30b7b8d97bfa53d176dbb393e133565c65edcc42e059b6028546c3.svg
Sleepagotchi,1388,Gaming,Game,Deployed,22,https://explorer.thegrid.id/profiles/Sleepagotchi,https://data.thegrid.id/app/dashboard#profile=1388,Yes,https://img.thegrid.id/upload/98e3ce96386159141db2649b9b8fb23d4eaf93f80e93f4b728fbbcc80862942d.svg
UNKJD,1389,Gaming,Game,Deployed,22,https://explorer.thegrid.id/profiles/UNKJD,https://data.thegrid.id/app/dashboard#profile=1389,Yes,https://img.thegrid.id/upload/7851205807ad3ff47eb17585180b5730646a787865d7240c6e60e09b8f31142d.svg
Valannia,1390,Gaming,NFT Marketplace,Deployed,22,https://explorer.thegrid.id/profiles/Valannia,https://data.thegrid.id/app/dashboard#profile=1390,Yes,https://img.thegrid.id/upload/b68a738db3a8d9b098c1206322e241294e0383863b11184db4e4a5c8fb129a70.png
Chillchat,1392,Gaming,Game,Deployed,22,https://explorer.thegrid.id/profiles/Chillchat,https://data.thegrid.id/app/dashboard#profile=1392,No,https://img.thegrid.id/harvest/700c39b7240bfb051c18497bd07c482b11cf236299c1685218bd12005301c384.png
Elixir Games,1393,Gaming,Explorer,Deployed,22,https://explorer.thegrid.id/profiles/Elixir_Games,https://data.thegrid.id/app/dashboard#profile=1393,Yes,https://img.thegrid.id/upload/64c6b487b248c8f2e6327c1232223bc8b2ba2ead5a37f9ba2d0aada1d1906a79.png
